</s>
是_v	并非_v
分校_n	外国语_n 数学系_n 理工学院_n 理工大学_n 校区_n 工学院_n 大学_n
郭文珺_np	魏宁_np 王明娟_np 庞伟_np 朱启南_np 苏玉玲_np 叶诗文_np 林丹_np 秦钟午_np 易思玲_np
收割_v	插秧_v 免耕_v 麦收_v 播种_v 育秧_v 春播_v 抢收_v
钢筋_n	砖墙_n 房顶_n 水泥板_n 混凝土_n 地基_n 砖块_n 彩钢板_n 楼板_n 钢板_n 脚手架_n 碎石_n 铁架_n
绳子_n	绳索_n 麻绳_n 竹竿_n 安全绳_n 木棍_n 鱼竿_n 铁锨_n 救生圈_n
冯_np	吴_np 曹_np 杨_np 郭_np 李_np 王_np 孙_np 张_np 宋_np 罗_np 刘_np 梁_np 徐_np 蔡_np 陈_np
概括_v	阐释_v 归纳_v 论述_v 讲_v
乱象_n	零负团费_n 潜规_n 歪风_n 现象_n 顽症_n
界限_n	界线_n 规制_n 上位法_n
限价_v	限购_v
日本队_ni	巴西队_ni 澳大利亚队_ni 泰国队_ni 阿根廷队_ni 加拿大队_ni 中国队_ni 土耳其队_ni 美国队_ni 伊朗队_ni 保加利亚队_ni 南非队_ni 韩国队_ni 罗马尼亚队_ni
短裤_n	西服_n 外套_n Ｔ恤_n 牛仔裤_n 上衣_n 衬衣_n 吊带_n 衬衫_n
气步枪_n	自由泳_n 蝶泳_n 蹦床_n 冲金点_n 气手枪_n 射箭_n
海监_n	美济礁_n 指挥船_n 渔政_n 永暑礁_n 编队_n 海域_n 公务船_n
医保_n	合作医疗_n 参保人_n 城镇_n 农合_n 参保率_n
失恋_v	浮沉_v
地势_n	排水渠_n 河堤_n 低洼处_n 柏油路_n 山坡_n
藏品_n	瓷器_n 字画_n 收藏品_n 复制品_n 钱币_n 玉器_n 铜镜_n
伙同_v	指使_v 纠集_v
前辈_n	老前辈_n 后辈_n 恩师_n 晚辈_n
疯_v	揍_v 骂_v 吓_v
急于_v	出手_v 逼迫_v 说服_v
红木_n	家具_n 工艺品_n 翡翠_n 茶具_n 饰品_n 实木_n 家居_n 布艺_n 原木_n
坐落_v	位於_v 座落_v 紧邻_v 毗邻_v 邻_v
深感_v	震惊_v 同情_v
解散_v	推翻_v 违宪_v 胜选_v 修宪_v
摊主_n	商贩_n 店主_n 水果摊_n 档口_n 菜贩_n 水果店_n 档主_n 店员_n 小贩_n 菜场_n 摊位_n 地摊_n 瓜摊_n
瓷器_n	银器_n 铜器_n 珍品_n 器物_n 钱币_n 官窑_n 陶器_n 玉器_n 青铜器_n 铜镜_n
间接_a	潜在_a
出众_a	超强_a 强悍_a
荣耀_a	无尽_a
街坊_n	阿婆_n 邻居_n 热心人_n 单元楼_n 老太太_n
寄予_v	夺冠_v 赢得_v
溢_v
批发价_n	菜籽油_n 蛋价_n 出厂价_n 猪肉_n 大豆油_n 汽柴油_n 菜价_n 白条鸡_n 价格会_n 花生油_n 价格_n 蒜头_n 零售价_n 新蒜_n 肉价_n
体彩_n	彩友_n 彩民_n 投注站_n 注头奖_n 福彩_n 巨奖_n 头奖_n 彩票_n 中奖者_n 双色球_n
年金_n	变额_n 浮动费率_n 保险_n 养老金_n 养老险_n
折磨_v	自闭_v 忍受_v 煎熬_v 忍_v
卫生厅_n	公安厅_n 人社厅_n 信委_n 农业厅_n 审计厅_n 科技厅_n 环保厅_n 林业厅_n 工信厅_n 司法厅_n 教育厅_n 交通厅_n 水利厅_n 财政厅_n 文化厅_n 监察厅_n 商务厅_n 民政厅_n
后备_a	复合型_a 技能型_a
请问_v	问_v 问问_v 回答_v 苦笑_v 说_v 反问_v
黄宗泽_np	胡杏儿_np 吴卓羲_np 张馨予_np
声誉_n	信誉_n 公信力_n 公信_n 风气_n
南通_ns	苏州_ns 太仓_ns 泰州_ns 连云港_ns 莱阳_ns 镇江_ns 蚌埠_ns 金华_ns 无锡_ns 常州_ns
恶心_a	胸闷_a 头痛_a 胀_a 心慌_a
建设部_ni	住建部_ni 水利部_ni
海淀_ns	东城_ns 西城_ns 顺义_ns 石景山_ns 丰台_ns 朝阳_ns 昌平_ns 通州_ns
沾_v	粘_v 抹_v 晾_v 抹布_v
连片_v
勘察_v	勘测_v 施工_v 踏勘_v 勘查_v 围护_v
法宝_n	肉盾_n 神将_n 元神_n
铝合金_n	轮圈_n 前雾灯_n 一体式_n 铝制_n 轮毂_n
落选_v	退赛_v 顶替_v 无缘_v
侥幸_a
换乘_v	接驳_v
高架桥_n	天桥_n 立交桥_n 路段_n 匝道_n 二环路_n 主干道_n 过街天桥_n 高架_n
底_n	灰_n 面_n
重工_n	股份_n ＳＺ_n 柳工_n ＳＨ_n 纸业_n 光电_n 新材_n
脑袋_n	脑门_n 屁股_n 嘴_n 脖子_n 尾巴_n 头_n 耳朵_n 嘴巴_n
播报_v	录播_v 解说_v 主播_v 转播_v 直播_v 插播_v 收看_v
序幕_n	庆典_n 序曲_n 幕_n 高潮_n 最高潮_n 重头戏_n
本领_n	精气神_n 觉悟_n
放出_v	猜想_v
晴_v	放晴_v 转晴_v
失眠_v	头昏_v 耳鸣_v 健忘_v 头晕_v
哈萨克斯坦_ns	阿塞拜疆_ns 亚美尼亚_ns 印尼_ns 塞尔维亚_ns 白俄罗斯_ns 澳大利亚_ns 印度尼西亚_ns 乌兹别克斯坦_ns 比利时_ns 俄罗斯_ns 阿曼_ns 阿斯塔纳_ns
姐_n	姑娘_n 哥_n 女网_n
啃_v	刨_v 剥_v 割_v 掉_v 吞_v 烂_v
能耗_n	排放量_n 热效率_n 标煤_n 耗能_n 用水量_n 标准煤_n 氮氧化物_n 电耗_n
夜里_t	早晨_t 中午_t 下半夜_t 清早_t 清晨_t 早上_t 晚上_t 前半夜_t 白天_t
知事_n	森本_n 石原_n
县区_n
兑_v	升值_v 贬值_v
波什_n
司令_n	准将_n 总参谋长_n 海军_n 陆军_n 少将_n 总司令_n 参谋长_n 上将_n 指挥官_n 司令部_n 舰队_n 中将_n
三亚市_ns	美兰区_ns 临高县_ns 琼海市_ns 儋州市_ns 江门市_ns 海口市_ns 合肥市_ns
误会_v	猜疑_v 误解_v
金币_n	元宝_n 宝物_n 新手卡_n 银币_n 点卡_n 铜币_n 宝箱_n 卷轴_n 经验值_n 兑换券_n 宝石_n 道具_n
农合_n	医保_n 合作医疗_n 城居_n
克洛泽_np	克罗斯_np 托雷斯_np 穆勒_np 博阿滕_np 厄齐尔_np 波多尔斯基_np 诺伊尔_np 克洛斯_np 戈麦斯_np
制假_v	制售_v 捣毁_v 制贩_v 假冒_v 查获_v 查缴_v 售假_v
裂缝_n	地基_n 墙皮_n 裂纹_n 围墙_n 墙体_n
谋求_v	寻求_v 致力_v 全球化_v 变革_v 结盟_v
峰度_n	负荷_n 电网_n 迎峰度_n 火电机组_n
卡萨诺_np	蒙托利沃_np 巴洛特利_np 迪纳塔莱_np 法布雷加斯_np 拉莫斯_np 德罗西_np 马尔基西奥_np 皮尔洛_np
服务区_n	环路_n
缩水_v	锐减_v
白内障_n	疝气_n 眼底病_n 肿瘤_n 眼病_n
戏称_v	调侃_v 吐槽_v 惊呼_v
表率_n	榜样_n 本职工作_n
突破口_n	契机_n 切入点_n 结合点_n 著力点_n 思路_n 抓手_n 载体_n 着力点_n
遮挡_v	遮住_v 挡住_v 遮_v 竖_v 粘贴_v 遮盖_v
惨遭_v	爆冷_v 闯进_v 完败_v 出局_v 横扫_v 完胜_v 击败_v
爆破_v	施工_v 埋设_v 塔吊_v 支护_v 打桩_v
安全感_n	信任感_n 百姓_n 幸福感_n 感情_n 虚荣心_n 不安全感_n 归属感_n 优越感_n 性生活_n 满足感_n
坠毁_v	丧生_v 击落_v 鬼怪_v 失事_v
苏丹_ns	伊朗_ns 约旦_ns 南苏丹_ns 毛里塔尼亚_ns 刚果_ns 阿富汗_ns 科索沃_ns
调剂_v	进档_v 填报_v 退档_v 调档_v 投档_v 兼报_v 出档_v 选报_v 征平_v
分队_n	水罐车_n 突击队_n 民兵_n 救援组_n 救护队_n 救援车_n
公证_v	过户_v 办理_v 出具_v 盖章_v
水电站_n	施工区_n 塘坝_n 水库_n 电站_n
收报_v	收盘_v 跌_v 收跌_v 指跌_v 收涨_v 微跌_v 收於_v 报收_v
阿里_ns	突尼斯_ns
义工_n	服务队_n 公益_n 互助会_n 爱心_n
医疗费_n	住院费_n 赔偿款_n 抚慰金_n 医药费_n 赔偿金_n 丧葬费_n 鉴定费_n 护理费_n 手术费_n 治疗费_n 营养费_n 误工费_n
网游_n	大作_n 网页游戏_n 天境_n ＦＰＳ网游_n 游戏_n 玩法_n 游戏业_n
含义_n	读音_n 贬义_n 词_n 哲理_n 文言_n 符号_n 涵义_n 写法_n
联想_nz	松下_nz 宏碁_nz 思科_nz 索尼_nz 美的_nz 惠普_nz 华为_nz 三星_nz 同方_nz
晋升_v	评聘_v 聘期_v 提拔_v 改任_v
服役_v	列装_v
流向_v	外流_v 回流_v 抽离_v 流入_v 流出_v
连任_v	选战_v 竞选_v 大选_v
开学_v	补习_v 开课_v 上课_v
樱桃_n	火龙果_n 草莓_n 柚子_n 南瓜_n 葡萄干_n
周俊_np	吴景彪_np 李雪英_np 王明娟_np 田源_np 张秀云_np 陆永_np
续约_v	留队_v 离队_v
母女_n	儿子_n 母子_n 父女_n 女孩_n
限行_v	通行_v 施划_v 禁行_v
苏贞昌_np	谢长廷_np 马英九_np 蔡英文_np 陈菊_np 王金平_np 游锡堃_np 李清福_np 陈亭妃_np
老太_n	大爷_n 大娘_n 老汉_n 女士_n 大妈_n 大姐_n 老伯_n
勤_a
种族_n	族群_n 土著_n 仇恨_n 土著人_n 种族主义_n 族裔_n 巫术_n
骇_v	鲧行_v
目击_v	目睹_v 围观_v 坠亡_v 事发_v
丹羽_np	宇一郎_np 程永华_np 野田_np 丹羽宇_np
翻译_n	语言_n
劫匪_n
唐一菲_np	凌潇肃_np 李小璐_np 姚晨_np 张柏芝_np
胜地_n	休闲游_n 景点_n 旅游区_n 温泉_n
旋转_v	转动_v 翻转_v 投影_v 反射_v 滑动_v 散射_v
拨付_v	筹措_v 预拨_v 自筹_v 列支_v 补助_v 筹集_v 划拨_v 下拨_v
集会_v	抗议_v 游行_v 示威_v
扣押_v	查扣_v 收缴_v 缴获_v 拘捕_v 查封_v 查抄_v 偷运_v 走私_v 查获_v 涉嫌_v 伪造_v 扣留_v
外星人_n	科学家_n 地球人_n 陨石_n 外星_n 天文学家_n 宇宙_n
洪磊_np	纽兰_np 刘为民_np 耿雁生_np 陈显达_np 杨宇军_np 曹欣阳_np 范丽青_np
触及_v	失守_v 反抽_v 跌_v 击穿_v 下挫_v
孙女_n	外孙_n 姑姑_n 儿子_n 奶奶_n 弟弟_n 妈妈_n 姥姥_n 母亲_n 爸爸_n 小儿子_n 女儿_n 外公_n 哥哥_n 孙子_n
油田_n	油气田_n 煤层气_n 油井_n 油气_n 钻井_n 气田_n
盗版_v	侵权_v 盗播_v
浮_v	存款_v 定存_v 整存_v 整取_v 下限_v 浮动_v 上浮_v
受邀_v	获邀_v 登台_v 邀_v 助阵_v 应邀_v 邀请_v
前行_v	驶过_v 掉头_v 前进_v 行进_v 停下_v 行走_v
博尔特_np	盖伊_np 布雷克_np 菲尔普斯_np 罗切特_np 罗伯斯_np 叶诗文_np
出走_v	私奔_v
假日_n	亲子游_n 乐园_n 黄金周_n
押金_n	预付款_n 水电费_n 款项_n 卫生费_n 定金_n 诚意金_n 中介费_n 保证金_n
永恒_a	不朽_a
穆桂英_np	斯琴高娃_np 杨宗保_np
电讯报_n	太阳报_n 邮报网站_n 外媒_n 路透社_n 图片报_n 卫报_n 镜报_n 周刊网站_n 邮报_n 独立报_n
三分球_n	外线_n 篮板_n ３分球_n 单节_n 命中率_n
传授_v	讲授_v 钻研_v 请教_v 讲解_v 授课_v
后人_n	先人_n 后世_n 文人_n 史记_n 先祖_n
鲜血_n	右臂_n 左臂_n 手臂_n 胸口_n 脖子_n 胳膊_n
滨州_ns	泰安_ns 威海_ns 枣庄_ns 长清_ns 东营_ns 济宁_ns 东营市_ns 新泰_ns 临沂_ns 章丘_ns 滕州_ns 德州_ns 菏泽_ns 聊城_ns
起伏_v	变_v 起起伏伏_v 交错_v 显露_v
马丁_np	帕克_np 胡尔克_np 拜恩斯_np 克劳福德_np 桑德兰_np 里卡多_np
弥漫_v	刺鼻_v 闻_v 笼罩_v 飘荡_v 散发_v
抗灾_v	减灾_v 抢险_v 防灾_v 应急_v 避灾_v 防台_v 查灾_v 抗洪_v 救灾_v 抗旱_v 防汛_v
巧_a
西藏自治区_ns	云南省_ns 宁夏回族自治区_ns 四川省_ns 新疆维吾尔自治区_ns 贵州省_ns 青海省_ns 内蒙古自治区_ns
男队_n	体操_n 男乒_n 体操队_n 女队_n 跳水队_n 女乒_n 男花_n 游泳队_n 射击队_n
同居_v	结婚_v 离婚_v 再婚_v 相识_v 分手_v
格式_n	霸王_n 飞语点_n 条款_n 文本_n 文档_n
握手_v	致意_v 欢呼_v 鞠躬_v 送行_v 击掌_v 挥手_v 欢送_v 鼓掌_v 在场_v 祝贺_v 问好_v 拥抱_v 合影_v 落座_v
前年_t	去年_t 三月_t 半年前_t 一月_t 四月份_t 二月份_t 今年_t 上个月_t
返乡_v	下岗_v 失地_v 进城_v 务工_v 回乡_v 就业_v 致富_v
新作_n	三部曲_n 影片_n 配音_n
如火如荼_id	声势浩大_id 好戏连台_id
受骗_v	上当_v 轻信_v
歌唱_v	伴奏_v 演奏_v 领唱_v 独唱_v 伴舞_v 演唱_v 清唱_v 合唱_v
商贩_n	摊贩_n 水果店_n 档口_n 档主_n 菜贩_n 小贩_n 摊点_n 菜场_n 早市_n 摊位_n 地摊_n 摊主_n 经营户_n 小商贩_n
意味著_v	意味着_v 处於_v 对於_v 预示_v 意味_v
技师_n	焊工_n 工程师_n 车工_n 技工_n
代言人_n	明星_n 玉女_n 时尚界_n 潮人_n
卡西利亚斯_np	哈维_np 托雷斯_np 法布雷加斯_np 布冯_np 拉莫斯_np Ｃ罗_np 诺伊尔_np 卡西_np
空地_n	楼顶_n 屋顶_n 简易房_n 围墙_n 棚屋_n 花坛_n
廅行_v	鸭行_v 缥行_v
熄火_v	刮擦_v 打火_v 自燃_v 刮蹭_v 爆胎_v 刹车_v
实测_v	小于_v 测得_v
跑道_n	机场_n 航站楼_n Ｔ３航站楼_n 飞行区_n 新机场_n 停机坪_n 净空_n 隔离区_n
林青霞_np	刘嘉玲_np 曾华倩_np 张曼玉_np 张柏芝_np
大腿_n	颈部_n 手臂_n 腿_n 后背_n 腰部_n 胸口_n 小腿_n 手肘_n 胳膊_n 手指_n 臀部_n
汉网_n	云网_n 红网_n 中工网_n 荆楚网_n 东南网_n 西部网_n 作者_n 华龙网_n
融通_v
斩_v	获得_v 获_v 斩获_v
聆听_v	畅谈_v 倾听_v
霸王_n	格式_n 条款_n 三包期_n 竞业_n
扩容_v
系统性_n	全身性_n 敞口_n 风险_n 膀胱癌_n 敏感性_n 预见性_n 前瞻性_n 相关性_n 有效性_n 局部性_n
向_v	松开_v 站住_v 稳住_v 勒住_v 向前_v
普降_v
判罚_v	主罚_v 漏判_v 犯规_v
在岗_v	出勤_v 在职_v 在编_v
椅子_n	茶几_n 桌子_n 凳子_n 床头_n 布帘_n 长椅_n 办公桌_n 沙发_n
交火_v	袭击_v 武装_v
生于_v	现任_v 生於_v 出生_v
旋律_n	乐曲_n 和声_n 曲调_n 音符_n 曲风_n 歌声_n 唱腔_n 舞姿_n
借款_v	偿还_v 还款_v 催收_v 结清_v 付清_v 欠款_v
掩盖_v	粉饰_v 遮掩_v 隐藏_v 暴露_v 沦为_v
驶入_v	途经_v 驶过_v 驶进_v 行驶_v 驶离_v 行进_v 驶去_v 驶出_v 停靠_v 逆行_v
夏日_n	炎夏_n
望远镜_n	月球_n Ｘ射线_n 星系团_n 太阳系_n 探测器_n 中微子_n 天文学家_n 射电_n 日冕_n 阵列_n 小行星_n 天体_n
帅哥_n	帅气_n 扮相_n 美女_n 御姐_n
牧民_n	村寨_n 村民_n 全村_n 村里_n 贫困户_n 农民_n 牧区_n 烟农_n
ｘ_v
政策性_n	贷款_n 信贷_n 支持性_n 信贷资金_n 互助社_n 贴息_n
墓葬_n	墓葬群_n 墓主_n 出土文物_n 遗迹_n 古墓_n 墓室_n 青铜器_n 墓_n
社会化_v	社区化_v 属地化_v 健全_v 完善_v 专业化_v 网络化_v 精细化_v 网格化_v 服务_v
业态_n	会展_n 聚集区_n 综合体_n 商圈_n 产业_n 服务业_n
募捐_v	捐_v 义卖_v 捐款_v 捐助_v 捐赠_v
二等奖_n	铜奖_n 一等奖_n 四等奖_n 纪念奖_n 特等奖_n 大奖_n 获奖者_n 优胜奖_n 优秀奖_n 三等奖_n 奖金_n 奖_n 特别奖_n
坚信_v	深信_v 希望_v 渴望_v 自信_v 相信_v
床位_n	卫生室_n 床位数_n 病区_n 病房_n 护理员_n 养老院_n 门诊量_n 诊室_n 急诊_n
入室_v	行窃_v 结伙_v 作案_v 盗窃_v 突审_v 抢劫_v
空饷_n	根子_n 盒饭_n
用车_n	购置费_n 运行费_n 支出_n 公务车_n 租用费_n 维护费_n 费_n 接待费_n 公务_n 招待费_n 开支_n 党政机关_n
祭_v	祭拜_v 祈福_v 祭祀_v
持卡人_n	卡号_n 银联卡_n 储蓄卡_n 汇款_n 银行卡_n 收款人_n 信用卡_n 网银_n
官司_n	商标权_n 纠纷案_n 解金_n
乳腺_n	肿物_n 前列腺_n 胰腺_n 肿瘤_n 甲状腺_n 胆道_n
排座椅_n	真皮_n 后窗_n 驾驶席_n
鹏华_nz	银华_nz 海富通_nz 华安_nz 嘉实_nz 诺安_nz
长相_n	帅气_n 脸蛋_n 孩子气_n 身材_n 样貌_n
妇产科_n	肛肠科_n 内分泌科_n 儿科_n 内科_n 骨科_n 消化科_n 胸外科_n 妇科_n 泌尿科_n 普外科_n 产科_n
扎根_v	立身_v 砥砺_v 根植_v
留住_v
劲_n	劲头_n 心思_n 劲儿_n 脸皮_n 工夫_n 气力_n 肚皮_n 力气_n
ｒ_v	空缺_v 合润_v
一角_n	反派_n 剧中_n
过滤_v	吸附_v 挥发_v
先进_n	榜样_n 标兵_n
塔利班_nz
贪官_n	官场_n
听力_n	英语科_n 科目_n 口语_n 题量_n 语文_n
面料_n	铆钉_n 布料_n 款式_n 浅色_n 纯棉_n 真丝_n 棉质_n 印花_n 质地_n
美誉_n	美称_n 杜鹃花_n
换取_v	获取_v 不惜_v
芒果_n	石榴_n 哈密瓜_n 火龙果_n 荔枝_n 草莓_n
炮_n	机枪_n 红方_n 蓝方_n 霹雳_n
变电站_n	变电所_n 主变_n 台区_n 配电室_n 配网_n 变压器_n
机体_n	血管壁_n 自由基_n 免疫力_n 红血球_n 人体_n 大脑_n 脂质_n 菌群_n 机能_n 细胞_n
笔记_n	心得_n 书_n 题目_n 习题_n 古文_n 语文_n 错题_n 课本_n
迷_v	痴迷_v 沉醉_v 想起_v 爱上_v 迷恋_v 着迷_v
荔枝_n	枇杷_n 火龙果_n 龙眼_n 莲藕_n 芒果_n 凤梨_n 李子_n 西瓜_n 香瓜_n
冷漠_a	无知_a 善良_a
系列赛_n	得分王_n 热火队_n 雷霆_n 常规赛_n 季后赛_n 热火_n 雷霆队_n
白皮书_n	工信部_n 商务部_n
必不可少_id	一举两得_id 不可或缺_id
标致_nz	悦达起亚_nz 丰田_nz 雷诺_nz 马自达_nz 本田_nz 沃尔沃_nz 雪铁龙_nz
总工程师_n	总工_n 巡视员_n 主任_n 局长_n 党委书记_n 总师_n 处长_n 指挥长_n
安_v	搬_v
工作队_n	村组_n 人武部_n 工作队员_n 村干部_n 工作组_n 机关干部_n
绝非_v	无解_v 并非_v 诟病_v
无情_a	冷酷_a
皮肤病_n	小儿_n 银屑病_n 湿疹_n 胃肠病_n
拍卖会_n	落槌_n 春拍_n 拍品_n
龙岩_ns	厦门_ns 福州_ns 宁德_ns 漳州_ns 泉州_ns 莆田_ns
发文_v	关於_v 印发_v 下发_v
交出_v	拿下_v
租用_v	租下_v 购建_v 租赁_v 出租_v 承租_v 交付_v 办公_v
奢华_a	简约_a 华贵_a 典雅_a 优雅_a 雅致_a 欧式_a 精致_a 高贵_a 尊贵_a
难过_a	心酸_a 内疚_a 沮丧_a 愧疚_a 伤心_a 惋惜_a 悲伤_a
招行_v	浦发_v 光大_v 交行_v
智能化_v	科技化_v 系列化_v 视化_v 模块化_v 数字化_v 网络化_v 集成_v 自动化_v 集成化_v
植_v	枯萎_v
均匀_a	光滑_a
畜牧_n	水产_n 种苗_n 林业_n 水产局_n 兽医局_n 果业_n 畜牧局_n 食用菌_n
晚餐_n	甜食_n 甜点_n 米饭_n 甜品_n 素菜_n 早餐_n 零食_n 正餐_n 夜宵_n
接应_v	强攻_v
合影_n	好友_n
武装部队_id
定价_n	成品油_n 价差_n 调节价_n 油种_n 价格区_n
白云区_ns	黄埔区_ns 荔湾区_ns 番禺_ns 增城市_ns 东莞市_ns 天河区_ns 花都区_ns 番禺区_ns 海珠区_ns
核心区_n	中心城_n 旧城_n 卫星城_n 新城_n 中心区_n 商务区_n 滨河_n 生态区_n 新城区_n 功能区_n 滨水_n 片区_n 发展区_n
启发_v	体会_v 感悟_v 启迪_v 共鸣_v
清查_v	排查_v 取缔_v 查处_v 整治_v 摸查_v 摸清_v 查_v
监制_v	编剧_v 执导_v 导演_v
饥饿_n	游戏_n
淤泥_n	土堆_n 水坑_n 沙土_n 泥土_n 水沟_n 排水孔_n 沟渠_n 碎石_n 排水沟_n 泥沙_n
致敬_v	献给_v 怀念_v 敬仰_v 追忆_v 送别_v
数值_n	浓度_n 值_n 指标_n 日均值_n 正常值_n 浓度值_n
流露_v
灭火器_n	液化气罐_n 气罐_n 干粉_n 水枪_n 煤气罐_n
探亲_v	打工_v 休假_v 过年_v 出差_v
﹔_n
珍珠_n	水晶_n 色_n 紫色_n 琥珀_n 花色_n 玛瑙_n
举报人_n	当事人_n 线索_n 举报者_n
听众_n	笑声_n 歌迷_n 观众_n
吵架_v	闹_v 争吵_v 吵_v
箱子_n	口袋_n 抽屉_n 手提包_n 皮包_n 提包_n 手提袋_n 柜子_n 袋子_n 纸箱_n 挎包_n 包_n 背包_n
三夏_t
知晓_v	疑惑_v 清楚_v 信服_v
菜刀_n	匕首_n 刀子_n 木棒_n 木棍_n 柴刀_n 铁棒_n 刀_n 脖子_n 砍刀_n 铁棍_n 水果刀_n 斧子_n 斧头_n
提速_v	加快_v 力争_v 推进_v 宽带_v 提效_v 建设_v
晾晒_v
邓_np	吴_np 曹_np 杨_np 李_np 王_np 朱_np 孙_np 宋_np 刘_np 蔡_np 梁_np 徐_np 赵_np 陈_np
精髓_n	底蕴_n 内涵_n 流派_n
亲生_a	年幼_a
地步_n
全额_n	费用_n 款项_n 押金_n
无锡市_ns	南京市_ns 常州市_ns 南昌市_ns 济宁市_ns 上海市_ns 江苏省_ns 苏州市_ns
裸露_v	遮住_v 遮盖_v 缠绕_v 布满_v
志_n	美名_n
饰品_n	铂金_n 吊坠_n 首饰_n 金饰_n 装饰品_n 皮具_n 银饰_n 珠宝_n 摆件_n 手镯_n 配饰_n 箱包_n
不动产_n	资产_n 收益权_n 债权_n 股权_n
摸底_v	排查_v 摸排_v 暗访_v 排摸_v 摸清_v 核查_v 摸查_v
下次_t
疑虑_n	顾虑_n 不信任感_n
直通车_n	服务点_n 代办点_n 一站式_n 总台_n
阵风_n	海面_n 阵雨_n 雷阵雨_n 西南风_n 东北风_n
是的_id	无论如何_id
枪击案_n	枪案_n 血案_n
英勇_a	大无畏_a 壮烈_a
双打_n	单双打_n 资格赛_n 团体赛_n 单打_n 选手_n
完好_a
才华_n	才情_n 球技_n 天赋_n 幽默感_n 天分_n 花腔_n 才能_n 唱功_n
交界处_n	震中_n
筛查_v
艺术类_n	文理类_n 美术类_n 理工类_n 三校生_n 理科类_n 高职_n 文史类_n 校考_n 体育类_n 院校_n 文理科_n 科类_n
古人_n	诗经_n 文人_n 俗语_n
采纳_v	合理化_v 抗诉_v 论证_v 征询_v 征求_v 研议_v 听证_v 质证_v 定案_v 采信_v
江门_ns	顺德_ns 肇庆_ns 揭阳_ns 韶关_ns 茂名_ns 清远_ns 佛山_ns 河源_ns 东莞_ns 惠州_ns 珠海_ns 汕尾_ns
国泰_nz
冠心病_n	心绞痛_n 心脑血管病_n 心肌病_n 肾病_n 心力衰竭_n 糖尿病_n 顽固性_n 高血压_n 心肌梗死_n 脑卒_n 心肌炎_n
押_v	潜逃_v
属实_a
中沙群岛_ns	沙洲_ns 南沙群岛_ns 南海诸岛_ns 西沙群岛_ns 西沙_ns 中沙_ns 南沙_ns 海南行政区_ns
发车_v	发班_v 始发_v
特邀_v	主讲_v 受邀_v 应邀_v 邀请_v 主持_v
伦理_n	人性_n 语境_n 现实_n 公德_n 人伦_n 良知_n
失常_a
精子_n	雄激素_n 性激素_n 人体_n 激素_n 卵子_n 胆固醇_n 精液_n
更何况_id	理所当然_id 无论如何_id
起身_v	使劲_v 搀扶_v 叫喊_v 站_v 蹲_v 坐下_v 坐_v
键盘_n	按键_n ＵＳＢ接口_n 触摸屏_n 插槽_n 触屏_n 内置_n 显示器_n
医治_v	求诊_v 动手术_v 救治_v 求医_v 转院_v 治疗_v
撤出_v	开火_v 撤走_v 驻扎_v 炮击_v
主人公_n	主角_n 成长史_n 剧中_n
广西壮族自治区_ns	宁夏回族自治区_ns 四川省_ns 福建省_ns 贵州省_ns 吉林省_ns 内蒙古自治区_ns
中小学校_n	学校_n 幼儿园_n 寄宿制_n
时间段_n	时段_n 高峰期_n 时间_n
布伦特_ns
投注_v	倍投_v 开奖_v 中奖_v
精细化_v	法治化_v 社区化_v 社会化_v 属地化_v 内控_v 动态化_v 完善_v 系统化_v 专业化_v 规范化_v 网络化_v 项目化_v 科学化_v 网格化_v
北纬_a	东经_a
行贿_v	受贿_v 索贿_v 追缴_v 贪污_v 贿赂_v 涉嫌_v
洛阳市_ns	商丘市_ns 信阳市_ns 南昌市_ns 长沙市_ns 郑州市_ns
预留_v	留足_v
房门_n	铁门_n 屋门_n 阳台_n 窗台_n 反锁_n 楼梯口_n 窗户_n 将门_n 里屋_n
格栅_n	前格栅_n 倒梯形_n 装饰条_n 前脸_n 盾形_n 尾灯_n 翼子板_n 前灯_n 雾灯_n 中网_n
魏_np	孙_np 杨_np 李_np 王_np 张_np 刘_np 何_np 蔡_np 梁_np 徐_np 赵_np 陈_np
休_v	涨_v
蕴含_v	糅合_v 蕴涵_v
周密_a	严密_a 细致_a 精心_a
黑人_n	白人_n 绰号_n
小品_n	快板_n 评书_n 选段_n 诗朗诵_n 花鼓戏_n 折子戏_n
取向_n	辩证法_n 方法论_n 逻辑_n 观念_n 导向_n 本质_n
老总_n	董事长_n 掌门人_n 猎头_n 高管_n 总经理_n 老板_n 经理_n 合伙人_n
高雄_ns	基隆市_ns 台南_ns 基隆_ns 高雄市_ns 云林_ns 台中_ns 台南市_ns 南投_ns 台北市_ns
